Date,value
2023-03-20T08:13:58.746Z,'Temperature = 34.10  Humidity = 87.00 Moisture =99.00
2023-03-20T08:14:00.793Z,'Temperature = 33.80  Humidity = 86.00 Moisture =99.00
2023-03-20T08:14:02.841Z,'Temperature = 33.60  Humidity = 84.00 Moisture =99.00
2023-03-20T08:14:04.888Z,'Temperature = 33.50  Humidity = 82.00 Moisture =99.00
2023-03-20T08:14:06.936Z,'Temperature = 33.40  Humidity = 81.00 Moisture =99.00
2023-03-20T08:14:09.088Z,'Temperature = 33.30  Humidity = 78.00 Moisture =99.00
2023-03-20T08:14:10.984Z,'Temperature = 33.30  Humidity = 75.00 Moisture =99.00
2023-03-20T08:14:13.08Z,'Temperature = 33.20  Humidity = 73.00 Moisture =99.00
2023-03-20T08:14:15.9Z,'Temperature = 33.10  Humidity = 71.00 Moisture =99.00
2023-03-20T08:14:17.077Z,'Temperature = 33.10  Humidity = 69.00 Moisture =99.00
2023-03-20T08:14:19.125Z,'Temperature = 33.00  Humidity = 67.00 Moisture =99.00
2023-03-20T08:14:21.173Z,'Temperature = 32.90  Humidity = 65.00 Moisture =99.00
2023-03-20T08:14:23.22Z,'Temperature = 32.90  Humidity = 63.00 Moisture =99.00
2023-03-20T08:14:25.269Z,'Temperature = 32.80  Humidity = 62.00 Moisture =99.00
2023-03-20T08:14:29.315Z,'Temperature = 32.80  Humidity = 61.00 Moisture =99.00
2023-03-20T08:14:31.365Z,'Temperature = 32.70  Humidity = 61.00 Moisture =99.00
2023-03-20T08:14:35.404Z,'Temperature = 32.60  Humidity = 60.00 Moisture =99.00
2023-03-20T08:14:39.45Z,'Temperature = 32.50  Humidity = 60.00 Moisture =99.00
2023-03-20T08:14:45.494Z,'Temperature = 32.40  Humidity = 60.00 Moisture =99.00
2023-03-20T08:14:51.534Z,'Temperature = 32.30  Humidity = 60.00 Moisture =99.00
2023-03-20T08:14:57.575Z,'Temperature = 32.20  Humidity = 60.00 Moisture =99.00
2023-03-20T08:15:05.667Z,'Temperature = 32.10  Humidity = 59.00 Moisture =99.00
2023-03-20T08:15:07.971Z,'Temperature = 32.20  Humidity = 59.00 Moisture =99.00
2023-03-20T08:15:10.016Z,'Temperature = 32.10  Humidity = 59.00 Moisture =99.00
2023-03-20T08:15:10.735Z,'Temperature = 32.10  Humidity = 60.00 Moisture =99.00
2023-03-20T08:15:12.063Z,'Temperature = 32.10  Humidity = 59.00 Moisture =99.00
2023-03-20T08:15:28.196Z,'Temperature = 32.00  Humidity = 59.00 Moisture =99.00
2023-03-20T08:15:34.235Z,'Temperature = 32.00  Humidity = 58.00 Moisture =99.00
2023-03-20T08:15:56.454Z,'Temperature = 32.00  Humidity = 57.00 Moisture =99.00
2023-03-20T08:17:17.251Z,'Temperature = 32.00  Humidity = 57.00 Moisture =99.00
2023-03-20T08:18:32.311Z,'Temperature = 32.10  Humidity = 57.00 Moisture =99.00
2023-03-20T08:18:42.693Z,'
2023-03-20T08:18:43.777Z,'Temperature = 32.10  Humidity = 57.00 Moisture =99.00
2023-03-20T08:19:08.046Z,'Temperature = 32.10  Humidity = 57.00 Moisture =100.00
2023-03-20T08:19:26.484Z,'Temperature = 32.10  Humidity = 57.00 Moisture =99.00
2023-03-20T08:19:28.322Z,'Temperature = 32.10  Humidity = 57.00 Moisture =100.00
2023-03-20T08:19:30.064Z,'Temperature = 32.10  Humidity = 58.00 Moisture =100.00
2023-03-20T08:19:32.062Z,'Temperature = 35.60  Humidity = 88.00 Moisture =100.00
2023-03-20T08:19:34.11Z,'Temperature = 36.00  Humidity = 89.00 Moisture =100.00
2023-03-20T08:19:36.155Z,'Temperature = 35.30  Humidity = 89.00 Moisture =100.00
2023-03-20T08:19:38.203Z,'Temperature = 34.90  Humidity = 89.00 Moisture =100.00
2023-03-20T08:19:40.253Z,'Temperature = 34.40  Humidity = 88.00 Moisture =100.00
2023-03-20T08:19:42.309Z,'Temperature = 34.10  Humidity = 86.00 Moisture =100.00
2023-03-20T08:19:44.348Z,'Temperature = 33.90  Humidity = 83.00 Moisture =100.00
2023-03-20T08:19:46.396Z,'Temperature = 33.60  Humidity = 78.00 Moisture =100.00
2023-03-20T08:19:48.443Z,'Temperature = 33.40  Humidity = 73.00 Moisture =100.00
2023-03-20T08:19:49.16Z,'Temperature = 33.40  Humidity = 73.00 Moisture =99.00
2023-03-20T08:19:50.49Z,'Temperature = 33.20  Humidity = 69.00 Moisture =99.00
2023-03-20T08:19:52.539Z,'Temperature = 33.20  Humidity = 66.00 Moisture =99.00
2023-03-20T08:19:54.586Z,'Temperature = 33.10  Humidity = 64.00 Moisture =99.00
2023-03-20T08:19:56.687Z,'Temperature = 33.00  Humidity = 62.00 Moisture =99.00
2023-03-20T08:19:58.63Z,'Temperature = 32.90  Humidity = 61.00 Moisture =99.00
2023-03-20T08:20:00.681Z,'Temperature = 32.90  Humidity = 59.00 Moisture =99.00
2023-03-20T08:20:02.729Z,'Temperature = 32.80  Humidity = 58.00 Moisture =99.00
2023-03-20T08:20:04.778Z,'Temperature = 32.70  Humidity = 58.00 Moisture =99.00
2023-03-20T08:20:06.823Z,'Temperature = 32.70  Humidity = 57.00 Moisture =99.00
2023-03-20T08:20:08.874Z,'Temperature = 32.60  Humidity = 57.00 Moisture =99.00
2023-03-20T08:20:12.968Z,'Temperature = 32.50  Humidity = 57.00 Moisture =99.00
2023-03-20T08:20:14.916Z,'Temperature = 32.40  Humidity = 57.00 Moisture =99.00
2023-03-20T08:20:20.955Z,'Temperature = 32.30  Humidity = 57.00 Moisture =99.00
2023-03-20T08:20:25.051Z,'Temperature = 32.20  Humidity = 57.00 Moisture =99.00
2023-03-20T08:20:29.149Z,'Temperature = 32.10  Humidity = 57.00 Moisture =99.00
2023-03-20T08:20:31.091Z,'Temperature = 32.10  Humidity = 58.00 Moisture =99.00
2023-03-20T08:20:32.994Z,'
2023-03-20T08:20:33.807Z,'Temperature = 32.10  Humidity = 58.00 Moisture =99.00
2023-03-20T08:20:43.179Z,'Temperature = 32.00  Humidity = 58.00 Moisture =99.00
2023-03-20T08:22:10.883Z,'Temperature = 32.20  Humidity = 57.00 Moisture =99
2023-03-20T08:22:20.663Z,'Temperature = 32.10  Humidity = 57.00 Moisture =99
2023-03-20T08:22:21.481Z,'Temperature = 32.10  Humidity = 57.00 Moisture =100
2023-03-20T08:22:49.335Z,'Temperature = 32.20  Humidity = 57.00 Moisture =100
2023-03-20T08:22:51.332Z,'Temperature = 32.10  Humidity = 57.00 Moisture =100
2023-03-20T08:23:42.703Z,'Temperature = 32.20  Humidity = 57.00 Moisture =100
2023-03-20T08:23:50.776Z,'Temperature = 32.10  Humidity = 57.00 Moisture =100
2023-03-20T08:23:52.821Z,'Temperature = 32.20  Humidity = 57.00 Moisture =100
2023-03-20T08:23:54.872Z,'Temperature = 32.10  Humidity = 57.00 Moisture =100
2023-03-20T08:23:56.867Z,'Temperature = 32.20  Humidity = 57.00 Moisture =100
2023-03-20T08:24:31.839Z,'Temperature = 32.10  Humidity = 57.00 Moisture =100
2023-03-20T08:24:33.733Z,'Temperature = 32.20  Humidity = 57.00 Moisture =100
2023-03-20T08:24:49.347Z,'Temperature = 32.20  Humidity = 57.00 Moisture =99
2023-03-20T08:25:06.45Z,'Temperature = 32.10  Humidity = 57.00 Moisture =99
2023-03-20T08:25:08.341Z,'Temperature = 32.20  Humidity = 57.00 Moisture =99
2023-03-20T08:25:14.436Z,'Temperature = 32.10  Humidity = 57.00 Moisture =99
2023-03-20T08:25:55.191Z,'Temperature = 32.10  Humidity = 56.00 Moisture =99
2023-03-20T08:25:57.134Z,'Temperature = 32.10  Humidity = 57.00 Moisture =99
2023-03-20T08:25:59.135Z,'Temperature = 32.10  Humidity = 56.00 Moisture =99
